DISTRICT,NAME OF THE HOSPITAL,CONTACT NO,REGULAR BEDS,,,OXYGEN BEDS,,,ICU BEDS (Ventilator/ CPAP),,,TOTAL BEDS,,,LAST UPDATED,,lat,long,phenom_city,phenom_state,phenom_country
,,,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,DATE,TIME,,,,,
Kamareddy,34. CHC YELLAREDDY,9848090968,7,1,6,3,0,3,0,0,0,10,1,9,01/05/2021,8:47:16 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Kamareddy,35. DH KAMAREDDY,9848346657,73,31,42,20,8,12,20,20,0,113,59,54,01/05/2021,9:40:37 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Karimnagar,36. DISTRICT HOSPITAL - KARIMNAGAR,9441701979,61,0,61,195,195,0,33,12,21,289,207,82,01/05/2021,9:11:20 AM,18.4346438,79.1322648,Karimnagar,Telangana,India
Karimnagar,37. HUZURABAD CHC,7013873200,15,0,15,0,0,0,10,0,10,25,0,25,29/04/2021,4:24:39 PM,18.4346438,79.1322648,Karimnagar,Telangana,India
Khammam,38. CHC PENUBALLI,9494601892,15,0,15,0,0,0,0,0,0,15,0,15,01/05/2021,9:24:32 AM,14.49679,79.88985,Penuballi,Andhra Pradesh,India
Khammam,39. CHC SATHUPALLY,9848506271,15,0,15,0,0,0,0,0,0,15,0,15,01/05/2021,9:26:02 AM,17.2465351,80.1500326,Khammam,Telangana,India
Khammam,40. DISTRICT HOSPITAL-KHAMMAM,8008553209,50,39,11,220,150,70,50,50,0,320,239,81,30/04/2021,4:46:22 PM,17.2465351,80.1500326,Khammam,Telangana,India
Komaram Bheem,41. CHC ASIFABAD,9618234484,8,0,8,40,18,22,5,0,5,53,18,35,01/05/2021,9:31:09 AM,,,,,
Komaram Bheem,42. CHC SIRPUR(T),7671029978,22,0,22,0,0,0,4,0,4,26,0,26,01/05/2021,9:29:12 AM,,,,,
Komaram Bheem,43. DH ASIFABAD,9618234484,0,0,0,60,18,42,5,0,5,65,18,47,30/04/2021,4:19:17 PM,,,,,
Mahabubabad,44. CHC-GUDUR,9652759857,10,6,4,10,3,7,0,0,0,20,9,11,30/04/2021,5:48:58 PM,,,,,
Mahabubabad,45. DH MAHABUBABAD,8008553175,2,0,2,40,38,2,12,2,10,54,40,14,01/05/2021,9:35:27 AM,,,,,
Mahabubnagar,46. CHC BADEPALLY / JADCHERLA,9946637152,5,0,5,0,0,0,0,0,0,5,0,5,01/05/2021,8:13:25 AM,,,,,
Mahabubnagar,47. GOVT GENERAL HOSPITAL- MAHABUBNAGAR,9292307228,270,12,258,170,147,23,60,29,31,500,188,312,01/05/2021,9:06:09 AM,,,,,
Mancherial,48. AREA HOSPITAL SCCL- RAMAKRISHNAPUR,9491145017,60,36,24,30,29,1,16,8,8,106,73,33,30/04/2021,9:30:57 AM,18.87074,79.42863,Mancheral,Telangana,India
Mancherial,49. CHC BELLAMPALLY,8019364366,21,0,21,0,0,0,0,0,0,21,0,21,01/05/2021,7:47:22 AM,18.87074,79.42863,Mancheral,Telangana,India
Medak,50. AH NARSAPUR,9989800907,0,0,0,49,11,38,1,0,1,50,11,39,30/04/2021,8:54:31 PM,19.09368,78.15591,Narsapur,Telangana,India
Medak,51. CHC TOOPRAN,9542273116,20,5,15,17,0,17,0,0,0,37,5,32,01/05/2021,8:21:27 AM,18.04531,78.26078,Medak,Telangana,India
Medak,52. DH MEDAK,9440006739,40,7,33,92,24,68,8,7,1,140,38,102,30/04/2021,9:23:18 PM,18.04531,78.26078,Medak,Telangana,India
Medchal,53. CHC GHATKESAR,8008553861,22,0,22,10,0,10,0,0,0,32,0,32,01/05/2021,7:47:51 AM,17.629722,78.481389,Medchal,Telangana,India
Mulugu,54. CHC ETURNAGARAM,9949789769,63,63,0,32,12,20,0,0,0,95,75,20,30/04/2021,5:00:58 PM,18.191,79.943,Mulugu,Telangana,India
Mulugu,55. DH MULUGU,9963701614,183,101,82,54,26,28,6,6,0,243,133,110,01/05/2021,8:52:25 AM,18.191,79.943,Mulugu,Telangana,India
Nagarkurnool,56. DH NAGARKURNOOL,9959554285,0,0,0,40,37,3,10,0,10,50,37,13,01/05/2021,12:45:35 AM,,,,Telangana,India
Nalgonda,57. AH NAGARJUNA SAGAR,9912384037,40,17,23,20,5,15,0,0,0,60,22,38,30/04/2021,10:36:58 AM,16.8587974,79.21250496,Nalgonda,Telangana,India
Nalgonda,58. AREA HOSPITAL - MIRYALGUDA,9848170330,70,32,38,50,12,38,0,0,0,120,44,76,30/04/2021,6:41:28 PM,16.8587974,79.21250496,Nalgonda,Telangana,India
Nalgonda,59. CHC DEVERAKONDA,9440525406,10,7,3,10,6,4,0,0,0,20,13,7,01/05/2021,9:33:52 AM,16.8587974,79.21250496,Nalgonda,Telangana,India
Nalgonda,60. CHC NAKKREKAL,8142292229,6,0,6,2,0,2,0,0,0,8,0,8,01/05/2021,8:29:58 AM,16.8587974,79.21250496,Nalgonda,Telangana,India
Nalgonda,"61. GOVT GENERAL HOSPTIAL, NALGONDA",9440152233,200,61,139,124,124,0,56,14,42,380,199,181,30/04/2021,4:30:03 PM,16.8587974,79.21250496,Nalgonda,Telangana,India
Narayanpet,62. DH NARAYANPET,9848491330,22,17,5,60,5,55,0,0,0,82,22,60,30/04/2021,4:53:28 PM,16.74799,77.4954,Narayanpet,Telangana,India
Nirmal,63. AH BHAINSA,9959154158,10,0,10,25,5,20,5,0,5,40,5,35,30/04/2021,3:04:32 PM,19.09685,78.34407,Nirmal,Telangana,India
Nirmal,64. DH NIRMAL,9059745569,30,17,13,65,32,33,10,6,4,105,55,50,01/05/2021,9:10:32 AM,19.09685,78.34407,Nirmal,Telangana,India
Nizamabad,65. AH BODHAN,9000957775,20,3,17,76,32,44,4,0,4,100,35,65,01/05/2021,8:57:08 AM,18.66208,77.88581,Bodhan,Telangana,India
